tier,method,random_seed,condition,layer_index,mean_probability_of_roughly_equal_option,items_used
small-instruct,baseline_dart,42,equal,8,0.3876,48
small-instruct,baseline_dart,42,equal,9,0.3837,48
small-instruct,baseline_dart,42,equal,10,0.3668,48
small-instruct,baseline_dart,42,equal,11,0.4197,48
small-instruct,baseline_dart,42,equal,12,0.2583,48
small-instruct,baseline_dart,42,equal,13,0.2165,48
small-instruct,baseline_fairnet,42,diff,0,0.5127,48
small-instruct,baseline_fairnet,42,diff,1,0.5175,48
small-instruct,baseline_fairnet,42,diff,2,0.5093,48
small-instruct,baseline_fairnet,42,diff,3,0.5053,48
small-instruct,baseline_fairnet,42,diff,4,0.503,48
small-instruct,baseline_fairnet,42,diff,5,0.4903,48
small-instruct,baseline_fairnet,42,diff,6,0.4902,48
small-instruct,baseline_fairnet,42,diff,7,0.4778,48
small-instruct,baseline_fairnet,42,diff,8,0.4592,48
small-instruct,baseline_fairnet,42,diff,9,0.4459,48
small-instruct,baseline_fairnet,42,diff,10,0.424,48
small-instruct,baseline_fairnet,42,diff,11,0.4487,48
small-instruct,baseline_fairnet,42,diff,12,0.4173,48
small-instruct,baseline_fairnet,42,diff,13,0.3772,48
small-instruct,baseline_fairnet,42,equal,0,0.5115,48
small-instruct,baseline_fairnet,42,equal,1,0.5176,48
small-instruct,baseline_fairnet,42,equal,2,0.5103,48
small-instruct,baseline_fairnet,42,equal,3,0.4998,48
small-instruct,baseline_fairnet,42,equal,4,0.5043,48
small-instruct,baseline_fairnet,42,equal,5,0.4879,48
small-instruct,baseline_fairnet,42,equal,6,0.497,48
small-instruct,baseline_fairnet,42,equal,7,0.4786,48
small-instruct,baseline_fairnet,42,equal,8,0.471,48
small-instruct,baseline_fairnet,42,equal,9,0.4572,48
small-instruct,baseline_fairnet,42,equal,10,0.4341,48
small-instruct,baseline_fairnet,42,equal,11,0.4494,48
small-instruct,baseline_fairnet,42,equal,12,0.3648,48
small-instruct,baseline_fairnet,42,equal,13,0.3852,48
small-instruct,baseline_igu_lora,42,diff,0,0.3588,48
small-instruct,baseline_igu_lora,42,diff,1,0.3587,48
small-instruct,baseline_igu_lora,42,diff,2,0.3533,48
small-instruct,baseline_igu_lora,42,diff,3,0.3523,48
small-instruct,baseline_igu_lora,42,diff,4,0.3496,48
small-instruct,baseline_igu_lora,42,diff,5,0.3413,48
small-instruct,baseline_igu_lora,42,diff,6,0.3431,48
small-instruct,baseline_igu_lora,42,diff,7,0.3197,48
small-instruct,baseline_igu_lora,42,diff,8,0.2896,48
small-instruct,baseline_igu_lora,42,diff,9,0.2949,48
small-instruct,baseline_igu_lora,42,diff,10,0.3019,48
small-instruct,baseline_igu_lora,42,diff,11,0.3047,48
small-instruct,baseline_igu_lora,42,diff,12,0.2227,48
small-instruct,baseline_igu_lora,42,diff,13,0.1609,48
small-instruct,baseline_igu_lora,42,equal,0,0.3597,48
small-instruct,baseline_igu_lora,42,equal,1,0.3584,48
small-instruct,baseline_igu_lora,42,equal,2,0.3533,48
small-instruct,baseline_igu_lora,42,equal,3,0.3537,48
small-instruct,baseline_igu_lora,42,equal,4,0.3486,48
small-instruct,baseline_igu_lora,42,equal,5,0.3425,48
small-instruct,baseline_igu_lora,42,equal,6,0.3428,48
small-instruct,baseline_igu_lora,42,equal,7,0.3187,48
small-instruct,baseline_igu_lora,42,equal,8,0.2854,48
small-instruct,baseline_igu_lora,42,equal,9,0.289,48
small-instruct,baseline_igu_lora,42,equal,10,0.2998,48
small-instruct,baseline_igu_lora,42,equal,11,0.3207,48
small-instruct,baseline_igu_lora,42,equal,12,0.2203,48
small-instruct,baseline_igu_lora,42,equal,13,0.1642,48
small-instruct,baseline_lftf,42,diff,0,0.2566,48
small-instruct,baseline_lftf,42,diff,1,0.2567,48
small-instruct,baseline_lftf,42,diff,2,0.2538,48
small-instruct,baseline_lftf,42,diff,3,0.2529,48
small-instruct,baseline_lftf,42,diff,4,0.2487,48
small-instruct,baseline_lftf,42,diff,5,0.237,48
small-instruct,baseline_lftf,42,diff,6,0.2498,48
small-instruct,baseline_lftf,42,diff,7,0.2183,48
small-instruct,baseline_lftf,42,diff,8,0.1971,48
small-instruct,baseline_lftf,42,diff,9,0.1968,48
small-instruct,baseline_lftf,42,diff,10,0.186,48
small-instruct,baseline_lftf,42,diff,11,0.2199,48
small-instruct,baseline_lftf,42,diff,12,0.2487,48
small-instruct,baseline_lftf,42,diff,13,0.2232,48
small-instruct,baseline_lftf,42,equal,0,0.2558,48
small-instruct,baseline_lftf,42,equal,1,0.2559,48
small-instruct,baseline_lftf,42,equal,2,0.2542,48
small-instruct,baseline_lftf,42,equal,3,0.2548,48
small-instruct,baseline_lftf,42,equal,4,0.2488,48
small-instruct,baseline_lftf,42,equal,5,0.2369,48
small-instruct,baseline_lftf,42,equal,6,0.2482,48
small-instruct,baseline_lftf,42,equal,7,0.2189,48
small-instruct,baseline_lftf,42,equal,8,0.195,48
small-instruct,baseline_lftf,42,equal,9,0.1875,48
small-instruct,baseline_lftf,42,equal,10,0.1757,48
small-instruct,baseline_lftf,42,equal,11,0.2114,48
small-instruct,baseline_lftf,42,equal,12,0.2347,48
small-instruct,baseline_lftf,42,equal,13,0.2159,48
small-instruct,baseline_pedal,42,diff,0,0.4436,48
small-instruct,baseline_pedal,42,diff,1,0.4442,48
small-instruct,baseline_pedal,42,diff,2,0.4309,48
small-instruct,baseline_pedal,42,diff,3,0.4342,48
small-instruct,baseline_pedal,42,diff,4,0.4431,48
small-instruct,baseline_pedal,42,diff,5,0.4382,48
small-instruct,baseline_pedal,42,diff,6,0.44,48
small-instruct,baseline_pedal,42,diff,7,0.4331,48
small-instruct,baseline_pedal,42,diff,8,0.4099,48
small-instruct,baseline_pedal,42,diff,9,0.4071,48
small-instruct,baseline_pedal,42,diff,10,0.3853,48
small-instruct,baseline_pedal,42,diff,11,0.3758,48
small-instruct,baseline_pedal,42,diff,12,0.3441,48
small-instruct,baseline_pedal,42,diff,13,0.3112,48
small-instruct,baseline_pedal,42,equal,0,0.4423,48
small-instruct,baseline_pedal,42,equal,1,0.4442,48
small-instruct,baseline_pedal,42,equal,2,0.4305,48
small-instruct,baseline_pedal,42,equal,3,0.433,48
small-instruct,baseline_pedal,42,equal,4,0.4439,48
small-instruct,baseline_pedal,42,equal,5,0.436,48
small-instruct,baseline_pedal,42,equal,6,0.4408,48
small-instruct,baseline_pedal,42,equal,7,0.4329,48
small-instruct,baseline_pedal,42,equal,8,0.4123,48
small-instruct,baseline_pedal,42,equal,9,0.4035,48
small-instruct,baseline_pedal,42,equal,10,0.408,48
small-instruct,baseline_pedal,42,equal,11,0.3683,48
small-instruct,baseline_pedal,42,equal,12,0.2198,48
small-instruct,baseline_pedal,42,equal,13,0.2506,48
small-instruct,baseline_regift,42,diff,0,0.5792,48
small-instruct,baseline_regift,42,diff,1,0.5865,48
small-instruct,baseline_regift,42,diff,2,0.5902,48
small-instruct,baseline_regift,42,diff,3,0.5744,48
small-instruct,baseline_regift,42,diff,4,0.5744,48
small-instruct,baseline_regift,42,diff,5,0.5573,48
small-instruct,baseline_regift,42,diff,6,0.5614,48
small-instruct,baseline_regift,42,diff,7,0.5319,48
small-instruct,baseline_regift,42,diff,8,0.4745,48
small-instruct,baseline_regift,42,diff,9,0.4634,48
small-instruct,baseline_regift,42,diff,10,0.4233,48
small-instruct,baseline_regift,42,diff,11,0.4404,48
small-instruct,baseline_regift,42,diff,12,0.4414,48
small-instruct,baseline_regift,42,diff,13,0.3901,48
small-instruct,baseline_regift,42,equal,0,0.5822,48
small-instruct,baseline_regift,42,equal,1,0.5862,48
small-instruct,baseline_regift,42,equal,2,0.5897,48
small-instruct,baseline_regift,42,equal,3,0.5748,48
small-instruct,baseline_regift,42,equal,4,0.5713,48
small-instruct,baseline_regift,42,equal,5,0.5556,48
small-instruct,baseline_regift,42,equal,6,0.5597,48
small-instruct,baseline_regift,42,equal,7,0.5392,48
small-instruct,baseline_regift,42,equal,8,0.4647,48
small-instruct,baseline_regift,42,equal,9,0.4619,48
small-instruct,baseline_regift,42,equal,10,0.4372,48
small-instruct,baseline_regift,42,equal,11,0.4552,48
small-instruct,baseline_regift,42,equal,12,0.4233,48
small-instruct,baseline_regift,42,equal,13,0.3829,48
small-instruct,graft_proposed,42,diff,0,0.4962,48
small-instruct,graft_proposed,42,diff,1,0.4967,48
small-instruct,graft_proposed,42,diff,2,0.4852,48
small-instruct,graft_proposed,42,diff,3,0.4756,48
small-instruct,graft_proposed,42,diff,4,0.4751,48
small-instruct,graft_proposed,42,diff,5,0.4631,48
small-instruct,graft_proposed,42,diff,6,0.4611,48
small-instruct,graft_proposed,42,diff,7,0.4418,48
small-instruct,graft_proposed,42,diff,8,0.389,48
small-instruct,graft_proposed,42,diff,9,0.4119,48
small-instruct,graft_proposed,42,diff,10,0.3793,48
small-instruct,graft_proposed,42,diff,11,0.4206,48
small-instruct,graft_proposed,42,diff,12,0.4191,48
small-instruct,graft_proposed,42,diff,13,0.3223,48
small-instruct,graft_proposed,42,equal,0,0.4955,48
small-instruct,graft_proposed,42,equal,1,0.4901,48
small-instruct,graft_proposed,42,equal,2,0.4848,48
small-instruct,graft_proposed,42,equal,3,0.4788,48
small-instruct,graft_proposed,42,equal,4,0.4759,48
small-instruct,graft_proposed,42,equal,5,0.464,48
small-instruct,graft_proposed,42,equal,6,0.4645,48
small-instruct,graft_proposed,42,equal,7,0.4489,48
small-instruct,graft_proposed,42,equal,8,0.3962,48
small-instruct,graft_proposed,42,equal,9,0.4139,48
small-instruct,graft_proposed,42,equal,10,0.388,48
small-instruct,graft_proposed,42,equal,11,0.441,48
small-instruct,graft_proposed,42,equal,12,0.3994,48
small-instruct,graft_proposed,42,equal,13,0.3314,48
small-instruct,graft_proposed_loao_gender,42,diff,0,0.3771,48
small-instruct,graft_proposed_loao_gender,42,diff,1,0.3753,48
small-instruct,graft_proposed_loao_gender,42,diff,2,0.3675,48
small-instruct,graft_proposed_loao_gender,42,diff,3,0.3675,48
small-instruct,graft_proposed_loao_gender,42,diff,4,0.3699,48
small-instruct,graft_proposed_loao_gender,42,diff,5,0.3647,48
small-instruct,graft_proposed_loao_gender,42,diff,6,0.3658,48
small-instruct,graft_proposed_loao_gender,42,diff,7,0.3458,48
small-instruct,graft_proposed_loao_gender,42,diff,8,0.3025,48
small-instruct,graft_proposed_loao_gender,42,diff,9,0.2667,48
small-instruct,graft_proposed_loao_gender,42,diff,10,0.1922,48
small-instruct,graft_proposed_loao_gender,42,diff,11,0.1912,48
small-instruct,graft_proposed_loao_gender,42,diff,12,0.1843,48
small-instruct,graft_proposed_loao_gender,42,diff,13,0.2398,48
small-instruct,graft_proposed_loao_gender,42,equal,0,0.3763,48
small-instruct,graft_proposed_loao_gender,42,equal,1,0.3755,48
small-instruct,graft_proposed_loao_gender,42,equal,2,0.3661,48
small-instruct,graft_proposed_loao_gender,42,equal,3,0.3678,48
small-instruct,graft_proposed_loao_gender,42,equal,4,0.3699,48
small-instruct,graft_proposed_loao_gender,42,equal,5,0.3611,48
small-instruct,graft_proposed_loao_gender,42,equal,6,0.3648,48
small-instruct,graft_proposed_loao_gender,42,equal,7,0.3453,48
small-instruct,graft_proposed_loao_gender,42,equal,8,0.3006,48
small-instruct,graft_proposed_loao_gender,42,equal,9,0.269,48
small-instruct,graft_proposed_loao_gender,42,equal,10,0.1968,48
small-instruct,graft_proposed_loao_gender,42,equal,11,0.1959,48
small-instruct,graft_proposed_loao_gender,42,equal,12,0.1509,48
small-instruct,graft_proposed_loao_gender,42,equal,13,0.2719,48
small-instruct,graft_proposed_loao_landholding,42,diff,0,0.5623,48
small-instruct,graft_proposed_loao_landholding,42,diff,1,0.5631,48
small-instruct,graft_proposed_loao_landholding,42,diff,2,0.5557,48
small-instruct,graft_proposed_loao_landholding,42,diff,3,0.5459,48
small-instruct,graft_proposed_loao_landholding,42,diff,4,0.5501,48
small-instruct,graft_proposed_loao_landholding,42,diff,5,0.5387,48
small-instruct,graft_proposed_loao_landholding,42,diff,6,0.5391,48
small-instruct,graft_proposed_loao_landholding,42,diff,7,0.5274,48
small-instruct,graft_proposed_loao_landholding,42,diff,8,0.5085,48
small-instruct,graft_proposed_loao_landholding,42,diff,9,0.493,48
small-instruct,graft_proposed_loao_landholding,42,diff,10,0.364,48
small-instruct,graft_proposed_loao_landholding,42,diff,11,0.2787,48
small-instruct,graft_proposed_loao_landholding,42,diff,12,0.267,48
small-instruct,graft_proposed_loao_landholding,42,diff,13,0.3211,48
small-instruct,graft_proposed_loao_landholding,42,equal,0,0.5637,48
small-instruct,graft_proposed_loao_landholding,42,equal,1,0.5611,48
small-instruct,graft_proposed_loao_landholding,42,equal,2,0.5529,48
small-instruct,graft_proposed_loao_landholding,42,equal,3,0.5496,48
small-instruct,graft_proposed_loao_landholding,42,equal,4,0.5524,48
small-instruct,graft_proposed_loao_landholding,42,equal,5,0.5354,48
small-instruct,graft_proposed_loao_landholding,42,equal,6,0.5394,48
small-instruct,graft_proposed_loao_landholding,42,equal,7,0.525,48
small-instruct,graft_proposed_loao_landholding,42,equal,8,0.4987,48
small-instruct,graft_proposed_loao_landholding,42,equal,9,0.49,48
small-instruct,graft_proposed_loao_landholding,42,equal,10,0.3664,48
small-instruct,graft_proposed_loao_landholding,42,equal,11,0.3034,48
small-instruct,graft_proposed_loao_landholding,42,equal,12,0.2603,48
small-instruct,graft_proposed_loao_landholding,42,equal,13,0.3327,48
small-instruct,graft_proposed_loao_social_group,42,diff,0,0.5863,48
small-instruct,graft_proposed_loao_social_group,42,diff,1,0.5865,48
small-instruct,graft_proposed_loao_social_group,42,diff,2,0.5862,48
small-instruct,graft_proposed_loao_social_group,42,diff,3,0.586,48
small-instruct,graft_proposed_loao_social_group,42,diff,4,0.5759,48
small-instruct,graft_proposed_loao_social_group,42,diff,5,0.5617,48
small-instruct,graft_proposed_loao_social_group,42,diff,6,0.5579,48
small-instruct,graft_proposed_loao_social_group,42,diff,7,0.5416,48
small-instruct,graft_proposed_loao_social_group,42,diff,8,0.5323,48
small-instruct,graft_proposed_loao_social_group,42,diff,9,0.5161,48
small-instruct,graft_proposed_loao_social_group,42,diff,10,0.4652,48
small-instruct,graft_proposed_loao_social_group,42,diff,11,0.4638,48
small-instruct,graft_proposed_loao_social_group,42,diff,12,0.4153,48
small-instruct,graft_proposed_loao_social_group,42,diff,13,0.2202,48
small-instruct,graft_proposed_loao_social_group,42,equal,0,0.587,48
small-instruct,graft_proposed_loao_social_group,42,equal,1,0.585,48
small-instruct,graft_proposed_loao_social_group,42,equal,2,0.5862,48
small-instruct,graft_proposed_loao_social_group,42,equal,3,0.585,48
small-instruct,graft_proposed_loao_social_group,42,equal,4,0.578,48
small-instruct,graft_proposed_loao_social_group,42,equal,5,0.5595,48
small-instruct,graft_proposed_loao_social_group,42,equal,6,0.557,48
small-instruct,graft_proposed_loao_social_group,42,equal,7,0.5407,48
small-instruct,graft_proposed_loao_social_group,42,equal,8,0.5315,48
small-instruct,graft_proposed_loao_social_group,42,equal,9,0.5167,48
small-instruct,graft_proposed_loao_social_group,42,equal,10,0.4613,48
small-instruct,graft_proposed_loao_social_group,42,equal,11,0.4661,48
small-instruct,graft_proposed_loao_social_group,42,equal,12,0.4351,48
small-instruct,graft_proposed_loao_social_group,42,equal,13,0.2303,48
small-instruct,graft_proposed_qlora_nf4,42,diff,0,0.3744,48
small-instruct,graft_proposed_qlora_nf4,42,diff,1,0.3751,48
small-instruct,graft_proposed_qlora_nf4,42,diff,2,0.3625,48
small-instruct,graft_proposed_qlora_nf4,42,diff,3,0.3678,48
small-instruct,graft_proposed_qlora_nf4,42,diff,4,0.3673,48
small-instruct,graft_proposed_qlora_nf4,42,diff,5,0.3406,48
small-instruct,graft_proposed_qlora_nf4,42,diff,6,0.3483,48
small-instruct,graft_proposed_qlora_nf4,42,diff,7,0.3633,48
small-instruct,graft_proposed_qlora_nf4,42,diff,8,0.3324,48
small-instruct,graft_proposed_qlora_nf4,42,diff,9,0.3078,48
small-instruct,graft_proposed_qlora_nf4,42,diff,10,0.2522,48
small-instruct,graft_proposed_qlora_nf4,42,diff,11,0.2787,48
small-instruct,graft_proposed_qlora_nf4,42,diff,12,0.225,48
small-instruct,graft_proposed_qlora_nf4,42,diff,13,0.1949,48
small-instruct,graft_proposed_qlora_nf4,42,equal,0,0.3754,48
small-instruct,graft_proposed_qlora_nf4,42,equal,1,0.3734,48
small-instruct,graft_proposed_qlora_nf4,42,equal,2,0.3614,48
small-instruct,graft_proposed_qlora_nf4,42,equal,3,0.3656,48
small-instruct,graft_proposed_qlora_nf4,42,equal,4,0.3684,48
small-instruct,graft_proposed_qlora_nf4,42,equal,5,0.3402,48
small-instruct,graft_proposed_qlora_nf4,42,equal,6,0.3516,48
small-instruct,graft_proposed_qlora_nf4,42,equal,7,0.3658,48
small-instruct,graft_proposed_qlora_nf4,42,equal,8,0.3385,48
small-instruct,graft_proposed_qlora_nf4,42,equal,9,0.3137,48
small-instruct,graft_proposed_qlora_nf4,42,equal,10,0.2719,48
small-instruct,graft_proposed_qlora_nf4,42,equal,11,0.2818,48
small-instruct,graft_proposed_qlora_nf4,42,equal,12,0.2304,48
small-instruct,graft_proposed_qlora_nf4,42,equal,13,0.1762,48
small-instruct,reference_vanilla_lora,42,diff,0,0.4086,48
small-instruct,reference_vanilla_lora,42,diff,1,0.4084,48
small-instruct,reference_vanilla_lora,42,diff,2,0.4087,48
small-instruct,reference_vanilla_lora,42,diff,3,0.4055,48
small-instruct,reference_vanilla_lora,42,diff,4,0.4095,48
small-instruct,reference_vanilla_lora,42,diff,5,0.3959,48
small-instruct,reference_vanilla_lora,42,diff,6,0.4002,48
small-instruct,reference_vanilla_lora,42,diff,7,0.3876,48
small-instruct,reference_vanilla_lora,42,diff,8,0.3372,48
small-instruct,reference_vanilla_lora,42,diff,9,0.3365,48
small-instruct,reference_vanilla_lora,42,diff,10,0.3015,48
small-instruct,reference_vanilla_lora,42,diff,11,0.312,48
small-instruct,reference_vanilla_lora,42,diff,12,0.1858,48
small-instruct,reference_vanilla_lora,42,diff,13,0.1342,48
small-instruct,reference_vanilla_lora,42,equal,0,0.409,48
small-instruct,reference_vanilla_lora,42,equal,1,0.4074,48
small-instruct,reference_vanilla_lora,42,equal,2,0.4087,48
small-instruct,reference_vanilla_lora,42,equal,3,0.4068,48
small-instruct,reference_vanilla_lora,42,equal,4,0.4088,48
small-instruct,reference_vanilla_lora,42,equal,5,0.3932,48
small-instruct,reference_vanilla_lora,42,equal,6,0.4021,48
small-instruct,reference_vanilla_lora,42,equal,7,0.3881,48
small-instruct,reference_vanilla_lora,42,equal,8,0.3418,48
small-instruct,reference_vanilla_lora,42,equal,9,0.3349,48
small-instruct,reference_vanilla_lora,42,equal,10,0.3018,48
small-instruct,reference_vanilla_lora,42,equal,11,0.3202,48
small-instruct,reference_vanilla_lora,42,equal,12,0.2533,48
small-instruct,reference_vanilla_lora,42,equal,13,0.3073,48
small-instruct,reference_vanilla_lora_loao_gender,42,diff,0,0.5214,48
small-instruct,reference_vanilla_lora_loao_gender,42,diff,1,0.5229,48
small-instruct,reference_vanilla_lora_loao_gender,42,diff,2,0.5283,48
small-instruct,reference_vanilla_lora_loao_gender,42,diff,3,0.5259,48
small-instruct,reference_vanilla_lora_loao_gender,42,diff,4,0.5271,48
small-instruct,reference_vanilla_lora_loao_gender,42,diff,5,0.5091,48
small-instruct,reference_vanilla_lora_loao_gender,42,diff,6,0.517,48
small-instruct,reference_vanilla_lora_loao_gender,42,diff,7,0.4968,48
small-instruct,reference_vanilla_lora_loao_gender,42,diff,8,0.4505,48
small-instruct,reference_vanilla_lora_loao_gender,42,diff,9,0.4364,48
small-instruct,reference_vanilla_lora_loao_gender,42,diff,10,0.3329,48
small-instruct,reference_vanilla_lora_loao_gender,42,diff,11,0.3436,48
small-instruct,reference_vanilla_lora_loao_gender,42,diff,12,0.2764,48
small-instruct,reference_vanilla_lora_loao_gender,42,diff,13,0.2558,48
small-instruct,reference_vanilla_lora_loao_gender,42,equal,0,0.5211,48
small-instruct,reference_vanilla_lora_loao_gender,42,equal,1,0.5246,48
small-instruct,reference_vanilla_lora_loao_gender,42,equal,2,0.5272,48
small-instruct,reference_vanilla_lora_loao_gender,42,equal,3,0.5241,48
small-instruct,reference_vanilla_lora_loao_gender,42,equal,4,0.5275,48
small-instruct,reference_vanilla_lora_loao_gender,42,equal,5,0.5028,48
small-instruct,reference_vanilla_lora_loao_gender,42,equal,6,0.5126,48
small-instruct,reference_vanilla_lora_loao_gender,42,equal,7,0.5008,48
small-instruct,reference_vanilla_lora_loao_gender,42,equal,8,0.4484,48
small-instruct,reference_vanilla_lora_loao_gender,42,equal,9,0.4341,48
small-instruct,reference_vanilla_lora_loao_gender,42,equal,10,0.34,48
small-instruct,reference_vanilla_lora_loao_gender,42,equal,11,0.3577,48
small-instruct,reference_vanilla_lora_loao_gender,42,equal,12,0.257,48
small-instruct,reference_vanilla_lora_loao_gender,42,equal,13,0.2269,48
small-instruct,reference_vanilla_lora_loao_landholding,42,diff,0,0.5206,48
small-instruct,reference_vanilla_lora_loao_landholding,42,diff,1,0.5278,48
small-instruct,reference_vanilla_lora_loao_landholding,42,diff,2,0.5285,48
small-instruct,reference_vanilla_lora_loao_landholding,42,diff,3,0.5252,48
small-instruct,reference_vanilla_lora_loao_landholding,42,diff,4,0.5142,48
small-instruct,reference_vanilla_lora_loao_landholding,42,diff,5,0.5122,48
small-instruct,reference_vanilla_lora_loao_landholding,42,diff,6,0.5272,48
small-instruct,reference_vanilla_lora_loao_landholding,42,diff,7,0.4877,48
small-instruct,reference_vanilla_lora_loao_landholding,42,diff,8,0.4529,48
small-instruct,reference_vanilla_lora_loao_landholding,42,diff,9,0.4658,48
small-instruct,reference_vanilla_lora_loao_landholding,42,diff,10,0.3733,48
small-instruct,reference_vanilla_lora_loao_landholding,42,diff,11,0.3494,48
small-instruct,reference_vanilla_lora_loao_landholding,42,diff,12,0.2399,48
small-instruct,reference_vanilla_lora_loao_landholding,42,diff,13,0.2404,48
small-instruct,reference_vanilla_lora_loao_landholding,42,equal,0,0.5233,48
small-instruct,reference_vanilla_lora_loao_landholding,42,equal,1,0.5239,48
small-instruct,reference_vanilla_lora_loao_landholding,42,equal,2,0.5277,48
small-instruct,reference_vanilla_lora_loao_landholding,42,equal,3,0.5234,48
small-instruct,reference_vanilla_lora_loao_landholding,42,equal,4,0.5185,48
small-instruct,reference_vanilla_lora_loao_landholding,42,equal,5,0.5107,48
small-instruct,reference_vanilla_lora_loao_landholding,42,equal,6,0.5254,48
small-instruct,reference_vanilla_lora_loao_landholding,42,equal,7,0.4899,48
small-instruct,reference_vanilla_lora_loao_landholding,42,equal,8,0.4437,48
small-instruct,reference_vanilla_lora_loao_landholding,42,equal,9,0.461,48
small-instruct,reference_vanilla_lora_loao_landholding,42,equal,10,0.3853,48
small-instruct,reference_vanilla_lora_loao_landholding,42,equal,11,0.3727,48
small-instruct,reference_vanilla_lora_loao_landholding,42,equal,12,0.2351,48
small-instruct,reference_vanilla_lora_loao_landholding,42,equal,13,0.2873,48
small-instruct,reference_vanilla_lora_loao_social_group,42,diff,0,0.6133,48
small-instruct,reference_vanilla_lora_loao_social_group,42,diff,1,0.6268,48
small-instruct,reference_vanilla_lora_loao_social_group,42,diff,2,0.6152,48
small-instruct,reference_vanilla_lora_loao_social_group,42,diff,3,0.6178,48
small-instruct,reference_vanilla_lora_loao_social_group,42,diff,4,0.6113,48
small-instruct,reference_vanilla_lora_loao_social_group,42,diff,5,0.6018,48
small-instruct,reference_vanilla_lora_loao_social_group,42,diff,6,0.616,48
small-instruct,reference_vanilla_lora_loao_social_group,42,diff,7,0.6059,48
small-instruct,reference_vanilla_lora_loao_social_group,42,diff,8,0.5216,48
small-instruct,reference_vanilla_lora_loao_social_group,42,diff,9,0.5394,48
small-instruct,reference_vanilla_lora_loao_social_group,42,diff,10,0.4988,48
small-instruct,reference_vanilla_lora_loao_social_group,42,diff,11,0.5678,48
small-instruct,reference_vanilla_lora_loao_social_group,42,diff,12,0.4221,48
small-instruct,reference_vanilla_lora_loao_social_group,42,diff,13,0.3326,48
small-instruct,reference_vanilla_lora_loao_social_group,42,equal,0,0.6137,48
small-instruct,reference_vanilla_lora_loao_social_group,42,equal,1,0.6251,48
small-instruct,reference_vanilla_lora_loao_social_group,42,equal,2,0.6181,48
small-instruct,reference_vanilla_lora_loao_social_group,42,equal,3,0.6184,48
small-instruct,reference_vanilla_lora_loao_social_group,42,equal,4,0.6108,48
small-instruct,reference_vanilla_lora_loao_social_group,42,equal,5,0.5985,48
small-instruct,reference_vanilla_lora_loao_social_group,42,equal,6,0.6197,48
small-instruct,reference_vanilla_lora_loao_social_group,42,equal,7,0.6081,48
small-instruct,reference_vanilla_lora_loao_social_group,42,equal,8,0.5164,48
small-instruct,reference_vanilla_lora_loao_social_group,42,equal,9,0.5308,48
small-instruct,reference_vanilla_lora_loao_social_group,42,equal,10,0.4892,48
