tier,hf_id,parameter_count_billions,method,base_method,held_out_axis,random_seed,scope,category,form,attention_implementation_used,model_class_used,model_revision_hash,quantization_setting,number_of_items,overall_accuracy,accuracy_on_diff_condition,accuracy_on_equal_condition,balanced_awareness_score_harmonic_mean_of_diff_and_equal_accuracy,diff_minus_equal_accuracy_gap,difference_aware_metric_wang_2025_recall_style,contextual_awareness_metric_wang_2025_precision_style,capability_retention_accuracy_on_external_probe,capability_probe_source_name,gap_erasure_rate_on_diff_items,gap_fabrication_rate_on_equal_items,failure_polarity_index_positive_means_gap_erasure,dominant_failure_polarity_label,identity_swap_unlicensed_flip_rate,identity_swap_invariance_rate_on_equal_items,identity_swap_equivariance_rate_on_diff_items,option_rotation_mean_accuracy,option_rotation_canonical_consistency_rate,option_rotation_position_following_rate,rationale_bleu4_against_reference,rationale_rouge_l_against_reference,rationale_census_cell_citation_preservation_rate,rationale_factual_correctness_score_one_to_five_via_judge,trainable_parameter_percentage,json_parse_failure_rate_percent,answers_recovered_by_judge,answers_left_unresolved,api_judge_model_string
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random,ablation_placement_random,,42,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9365,0.9874,0.8846,0.9332,0.1028,0.9874,0.8971,,,0.0,0.1154,-1.0,gap_fabrication_dominant,,,,,,,0.9859,0.9877,0.9993,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random,ablation_placement_random,,42,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.9698,0.9535,0.9844,0.9687,-0.0309,0.9535,0.982,,,0.0116,0.0156,-0.1467,bipolar_no_dominant_polarity,,,,,,,0.9859,0.9877,0.9993,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random_draw2,ablation_placement_random_draw2,,42,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,bipolar_no_dominant_polarity,,,,,,,0.9822,0.9848,0.9947,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random_draw2,ablation_placement_random_draw2,,42,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9238,0.9748,0.8718,0.9204,0.103,0.9748,0.8857,,,0.0,0.1282,-1.0,gap_fabrication_dominant,,,,,,,0.9822,0.9848,0.9947,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random_draw2,ablation_placement_random_draw2,,42,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.9698,0.9535,0.9844,0.9687,-0.0309,0.9535,0.982,,,0.0233,0.0156,0.1963,bipolar_no_dominant_polarity,,,,,,,0.9822,0.9848,0.9947,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random_draw3,ablation_placement_random_draw3,,42,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,bipolar_no_dominant_polarity,,,,,,,0.9834,0.9852,1.0,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random_draw3,ablation_placement_random_draw3,,42,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9206,0.9686,0.8718,0.9176,0.0968,0.9686,0.8851,,,0.0,0.1282,-1.0,gap_fabrication_dominant,,,,,,,0.9834,0.9852,1.0,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_random_draw3,ablation_placement_random_draw3,,42,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.9725,0.9593,0.9844,0.9717,-0.0251,0.9593,0.9821,,,0.0233,0.0156,0.1963,bipolar_no_dominant_polarity,,,,,,,0.9834,0.9852,1.0,4.892,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_uniform,ablation_placement_uniform,,42,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,0.9857,0.975,1.0,0.9873,-0.025,0.975,1.0,,,0.025,0.0,1.0,gap_erasure_dominant,,,,,,,0.9843,0.9859,1.0,4.838,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_uniform,ablation_placement_uniform,,42,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9302,0.9811,0.8782,0.9268,0.1029,0.9811,0.8914,,,0.0,0.1218,-1.0,gap_fabrication_dominant,,,,,,,0.9843,0.9859,1.0,4.838,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_placement_uniform,ablation_placement_uniform,,42,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.9533,0.9244,0.9792,0.951,-0.0547,0.9244,0.9755,,,0.0116,0.0208,-0.2836,gap_fabrication_dominant,,,,,,,0.9843,0.9859,1.0,4.838,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_rank_sweep_16,ablation_rank_sweep_16,,42,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,0.9857,1.0,0.9667,0.9831,0.0333,1.0,0.9756,,,0.0,0.0333,-1.0,gap_fabrication_dominant,,,,,,,0.9834,0.9848,0.9993,4.73,0.37697,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_rank_sweep_16,ablation_rank_sweep_16,,42,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9175,0.9686,0.8654,0.9141,0.1032,0.9686,0.88,,,0.0,0.1346,-1.0,gap_fabrication_dominant,,,,,,,0.9834,0.9848,0.9993,4.73,0.37697,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_rank_sweep_16,ablation_rank_sweep_16,,42,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.967,0.9709,0.9635,0.9672,0.0074,0.9709,0.9598,,,0.0116,0.0365,-0.5164,gap_fabrication_dominant,,,,,,,0.9834,0.9848,0.9993,4.73,0.37697,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_rank_sweep_32,ablation_rank_sweep_32,,42,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,bipolar_no_dominant_polarity,,,,,,,0.9773,0.981,1.0,4.784,0.75111,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_rank_sweep_32,ablation_rank_sweep_32,,42,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9048,0.9623,0.8462,0.9005,0.1161,0.9623,0.8644,,,0.0,0.1538,-1.0,gap_fabrication_dominant,,,,,,,0.9773,0.981,1.0,4.784,0.75111,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_rank_sweep_32,ablation_rank_sweep_32,,42,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.9451,0.9012,0.9844,0.9409,-0.0832,0.9012,0.981,,,0.0233,0.0156,0.1963,bipolar_no_dominant_polarity,,,,,,,0.9773,0.981,1.0,4.784,0.75111,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_rank_sweep_8,ablation_rank_sweep_8,,42,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,bipolar_no_dominant_polarity,,,,,,,0.9817,0.9836,0.9987,4.919,0.18884,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_rank_sweep_8,ablation_rank_sweep_8,,42,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9238,0.9434,0.9038,0.9232,0.0396,0.9434,0.9091,,,0.0252,0.0962,-0.5852,gap_fabrication_dominant,,,,,,,0.9817,0.9836,0.9987,4.919,0.18884,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,ablation_rank_sweep_8,ablation_rank_sweep_8,,42,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.9533,0.9244,0.9792,0.951,-0.0547,0.9244,0.9755,,,0.0581,0.0208,0.4724,gap_erasure_dominant,,,,,,,0.9817,0.9836,0.9987,4.919,0.18884,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_dart,baseline_dart,,42,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,bipolar_no_dominant_polarity,,,,,,,0.9818,0.9834,0.9993,4.73,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_dart,baseline_dart,,42,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9143,0.9748,0.8526,0.9096,0.1223,0.9748,0.8708,,,0.0,0.1474,-1.0,gap_fabrication_dominant,,,,,,,0.9818,0.9834,0.9993,4.73,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_dart,baseline_dart,,42,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.9478,0.936,0.9583,0.9471,-0.0223,0.936,0.9527,,,0.0,0.0417,-1.0,gap_fabrication_dominant,,,,,,,0.9818,0.9834,0.9993,4.73,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_dart,baseline_dart,,43,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,bipolar_no_dominant_polarity,,,,,,,0.9821,0.9841,0.9933,4.784,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_dart,baseline_dart,,43,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9111,0.9371,0.8846,0.9101,0.0525,0.9371,0.8922,,,0.0189,0.1154,-0.7189,gap_fabrication_dominant,,,,,,,0.9821,0.9841,0.9933,4.784,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_dart,baseline_dart,,43,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.9588,0.9244,0.9896,0.9559,-0.0652,0.9244,0.9876,,,0.0233,0.0104,0.3813,gap_erasure_dominant,,,,,,,0.9821,0.9841,0.9933,4.784,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_dart,baseline_dart,,44,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,bipolar_no_dominant_polarity,,,,,,,0.9816,0.9831,1.0,4.784,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_dart,baseline_dart,,44,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9175,0.8931,0.9423,0.917,-0.0492,0.8931,0.9404,,,0.0818,0.0577,0.1726,bipolar_no_dominant_polarity,,,,,,,0.9816,0.9831,1.0,4.784,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_dart,baseline_dart,,44,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.9588,0.9244,0.9896,0.9559,-0.0652,0.9244,0.9876,,,0.0698,0.0104,0.7402,gap_erasure_dominant,,,,,,,0.9816,0.9831,1.0,4.784,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_fairnet,baseline_fairnet,,42,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,bipolar_no_dominant_polarity,,,,,,,,,,,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_fairnet,baseline_fairnet,,42,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9206,0.9686,0.8718,0.9176,0.0968,0.9686,0.8851,,,0.0,0.1282,-1.0,gap_fabrication_dominant,,,,,,,,,,,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_fairnet,baseline_fairnet,,42,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.9341,0.8779,0.9844,0.9281,-0.1065,0.8779,0.9805,,,0.0291,0.0156,0.3008,gap_erasure_dominant,,,,,,,,,,,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_fairnet,baseline_fairnet,,43,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,bipolar_no_dominant_polarity,,,,,,,,,,,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_fairnet,baseline_fairnet,,43,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9238,0.9686,0.8782,0.9212,0.0903,0.9686,0.8902,,,0.0,0.1218,-1.0,gap_fabrication_dominant,,,,,,,,,,,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_fairnet,baseline_fairnet,,43,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.9643,0.9535,0.974,0.9636,-0.0205,0.9535,0.9704,,,0.0233,0.026,-0.0565,bipolar_no_dominant_polarity,,,,,,,,,,,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_fairnet,baseline_fairnet,,44,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,bipolar_no_dominant_polarity,,,,,,,,,,,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_fairnet,baseline_fairnet,,44,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9238,0.9057,0.9423,0.9236,-0.0366,0.9057,0.9412,,,0.0943,0.0577,0.2411,gap_erasure_dominant,,,,,,,,,,,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_fairnet,baseline_fairnet,,44,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.9368,0.9419,0.9323,0.9371,0.0096,0.9419,0.9257,,,0.0116,0.0677,-0.7069,gap_fabrication_dominant,,,,,,,,,,,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_igu_lora,baseline_igu_lora,,42,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,0.0,bipolar_no_dominant_polarity,,,,,,,,,,,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_igu_lora,baseline_igu_lora,,42,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.9143,0.9686,0.859,0.9105,0.1096,0.9686,0.875,,,0.0,0.141,-1.0,gap_fabrication_dominant,,,,,,,,,,,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_igu_lora,baseline_igu_lora,,42,agrifacts_frozen_test|axis:social_group,social_group,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,364,0.9341,0.8953,0.9688,0.9306,-0.0734,0.8953,0.9625,,,0.0291,0.0312,-0.0361,bipolar_no_dominant_polarity,,,,,,,,,,,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_lftf,baseline_lftf,,42,agrifacts_frozen_test|axis:gender,gender,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,70,0.9571,0.925,1.0,0.961,-0.075,0.925,1.0,,,0.075,0.0,1.0,gap_erasure_dominant,,,,,,,,,,,0.82593,0.0,,0,deepseek:deepseek-chat
small-instruct,meta-llama/Llama-3.2-3B-Instruct,3.2,baseline_lftf,baseline_lftf,,42,agrifacts_frozen_test|axis:landholding,landholding,all,flash_attention_2,AutoModelForCausalLM,0cb88a4f764b7a12671c53f0838cd831a0843b95,bf16_full,315,0.8921,0.8742,0.9103,0.8919,-0.036,0.8742,0.9085,,,0.0943,0.0897,0.025,bipolar_no_dominant_polarity,,,,,,,,,,,0.82593,0.0,,0,deepseek:deepseek-chat
