tier,method,random_seed,condition,mean_probability_of_roughly_equal_option_over_targeted_layers,targeted_layers_used
small-instruct,graft_proposed_qlora_nf4,42,equal,0.3225,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,reference_vanilla_lora,42,diff,0.3451,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,reference_vanilla_lora,42,equal,0.3631,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,reference_vanilla_lora_loao_gender,42,diff,0.446,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,reference_vanilla_lora_loao_gender,42,equal,0.4432,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,reference_vanilla_lora_loao_landholding,42,diff,0.4475,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,reference_vanilla_lora_loao_landholding,42,equal,0.452,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,reference_vanilla_lora_loao_social_group,42,diff,0.5565,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,reference_vanilla_lora_loao_social_group,42,equal,0.5613,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,reference_vanilla_qlora,42,diff,0.555,0;1;2;3;4;5;6;7;8;9;10;11;12;13
small-instruct,reference_vanilla_qlora,42,equal,0.5718,0;1;2;3;4;5;6;7;8;9;10;11;12;13
broad-instruct,frozen_base,42,diff,0.359,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,frozen_base,42,equal,0.3546,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,baseline_dart,42,diff,0.5223,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,baseline_dart,42,equal,0.5835,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,baseline_fairnet,42,diff,0.506,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,baseline_fairnet,42,equal,0.5254,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,baseline_igu_lora,42,diff,0.3704,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,baseline_igu_lora,42,equal,0.3807,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,baseline_lftf,42,diff,0.4451,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,baseline_lftf,42,equal,0.4595,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,baseline_pedal,42,diff,0.3298,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,baseline_pedal,42,equal,0.3478,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,baseline_regift,42,diff,0.4549,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,baseline_regift,42,equal,0.495,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,graft_proposed,42,diff,0.4697,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,graft_proposed,42,equal,0.5299,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,graft_proposed_loao_gender,42,diff,0.5288,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,graft_proposed_loao_gender,42,equal,0.5495,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,graft_proposed_loao_landholding,42,diff,0.4785,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,graft_proposed_loao_landholding,42,equal,0.5124,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,graft_proposed_loao_social_group,42,diff,0.4285,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,graft_proposed_loao_social_group,42,equal,0.4617,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,graft_proposed_qlora_nf4,42,diff,0.5017,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,graft_proposed_qlora_nf4,42,equal,0.522,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,reference_vanilla_lora,42,diff,0.4023,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,reference_vanilla_lora,42,equal,0.4669,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,reference_vanilla_lora_loao_gender,42,diff,0.4624,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,reference_vanilla_lora_loao_gender,42,equal,0.5015,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,reference_vanilla_lora_loao_landholding,42,diff,0.4694,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,reference_vanilla_lora_loao_landholding,42,equal,0.5012,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,reference_vanilla_lora_loao_social_group,42,diff,0.5124,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,reference_vanilla_lora_loao_social_group,42,equal,0.5541,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,reference_vanilla_qlora,42,diff,0.4139,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
broad-instruct,reference_vanilla_qlora,42,equal,0.4449,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
general-instruct,frozen_base,42,diff,0.0367,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,frozen_base,42,equal,0.0382,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,baseline_dart,42,diff,0.0944,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,baseline_dart,42,equal,0.1517,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,baseline_fairnet,42,diff,0.2642,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,baseline_fairnet,42,equal,0.3163,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,baseline_igu_lora,42,diff,0.151,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,baseline_igu_lora,42,equal,0.2139,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,baseline_lftf,42,diff,0.0922,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,baseline_lftf,42,equal,0.1087,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,baseline_pedal,42,diff,0.2305,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,baseline_pedal,42,equal,0.3077,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,baseline_regift,42,diff,0.056,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,baseline_regift,42,equal,0.0906,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,graft_proposed,42,diff,0.1577,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,graft_proposed,42,equal,0.1905,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,graft_proposed_loao_gender,42,diff,0.188,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,graft_proposed_loao_gender,42,equal,0.2182,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,graft_proposed_loao_landholding,42,diff,0.2891,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,graft_proposed_loao_landholding,42,equal,0.3355,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,graft_proposed_loao_social_group,42,diff,0.2469,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
general-instruct,graft_proposed_loao_social_group,42,equal,0.2727,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
general-instruct,graft_proposed_qlora_nf4,42,diff,0.2195,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,graft_proposed_qlora_nf4,42,equal,0.2734,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,reference_vanilla_lora,42,diff,0.1254,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,reference_vanilla_lora,42,equal,0.1819,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,reference_vanilla_lora_loao_gender,42,diff,0.0799,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,reference_vanilla_lora_loao_gender,42,equal,0.1269,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,reference_vanilla_lora_loao_landholding,42,diff,0.1944,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,reference_vanilla_lora_loao_landholding,42,equal,0.2484,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,reference_vanilla_lora_loao_social_group,42,diff,0.2063,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
general-instruct,reference_vanilla_lora_loao_social_group,42,equal,0.2489,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
general-instruct,reference_vanilla_qlora,42,diff,0.1004,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct,reference_vanilla_qlora,42,equal,0.1663,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
general-instruct-2,frozen_base,42,diff,0.2132,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,frozen_base,42,equal,0.2123,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,baseline_dart,42,diff,0.2287,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,baseline_dart,42,equal,0.259,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,baseline_fairnet,42,diff,0.4407,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,baseline_fairnet,42,equal,0.4808,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,baseline_igu_lora,42,diff,0.5875,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,baseline_igu_lora,42,equal,0.6417,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,baseline_lftf,42,diff,0.2849,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,baseline_lftf,42,equal,0.2962,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,baseline_pedal,42,diff,0.3087,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,baseline_pedal,42,equal,0.3325,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,baseline_regift,42,diff,0.2935,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,baseline_regift,42,equal,0.3505,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,graft_proposed,42,diff,0.3423,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,graft_proposed,42,equal,0.3982,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,graft_proposed_loao_gender,42,diff,0.2805,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,graft_proposed_loao_gender,42,equal,0.3388,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,graft_proposed_loao_landholding,42,diff,0.255,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,graft_proposed_loao_landholding,42,equal,0.2895,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,graft_proposed_loao_social_group,42,diff,0.2017,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,graft_proposed_loao_social_group,42,equal,0.2535,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,graft_proposed_qlora_nf4,42,diff,0.263,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,graft_proposed_qlora_nf4,42,equal,0.3341,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,reference_vanilla_lora,42,diff,0.3886,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,reference_vanilla_lora,42,equal,0.4427,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,reference_vanilla_lora_loao_gender,42,diff,0.3353,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,reference_vanilla_lora_loao_gender,42,equal,0.3848,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,reference_vanilla_lora_loao_landholding,42,diff,0.3152,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,reference_vanilla_lora_loao_landholding,42,equal,0.3725,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,reference_vanilla_lora_loao_social_group,42,diff,0.2753,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,reference_vanilla_lora_loao_social_group,42,equal,0.3231,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,reference_vanilla_qlora,42,diff,0.4663,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
general-instruct-2,reference_vanilla_qlora,42,equal,0.5294,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
