source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type
AgCensus2015-16 T14-16 All/Large/area/MvF,AgCensus2015-16,T14-16,All,Large,area,MvF,gender,men,women,6,6,0,0,diff,a,,,,percent,SYNTHETIC,23.33,6.86,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 SC/Large/number/MvF,AgCensus2015-16,T14-16,SC,Large,number,MvF,gender,men,women,5,0,0,5,diff,a,,,,percent,SYNTHETIC,35.57,11.72,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 SC/Marginal/area/MvF,AgCensus2015-16,T14-16,SC,Marginal,area,MvF,gender,men,women,1,1,0,0,diff,a,,,,percent,SYNTHETIC,32.66,18.55,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 SC/Marginal/number/MvF,AgCensus2015-16,T14-16,SC,Marginal,number,MvF,gender,men,women,5,5,0,0,diff,a,,,,percent,SYNTHETIC,21.5,6.61,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 SC/Medium/area/MvF,AgCensus2015-16,T14-16,SC,Medium,area,MvF,gender,men,women,6,0,0,6,diff,a,,,,percent,SYNTHETIC,39.2,25.71,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 SC/Medium/number/MvF,AgCensus2015-16,T14-16,SC,Medium,number,MvF,gender,men,women,5,5,0,0,diff,a,,,,percent,SYNTHETIC,31.12,18.86,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 SC/Small/area/MvF,AgCensus2015-16,T14-16,SC,Small,area,MvF,gender,men,women,5,0,5,0,diff,a,,,,percent,SYNTHETIC,54.57,32.99,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 SC/Small/number/MvF,AgCensus2015-16,T14-16,SC,Small,number,MvF,gender,men,women,4,0,0,4,diff,a,,,,percent,SYNTHETIC,27.39,7.27,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 SC/femaleShare/area/LargevsMedium,AgCensus2015-16,T14-16,SC,femaleShare,area,LargevsMedium,gender,large operated area,medium operated area,2,0,0,2,equal,c,,,,percent,SYNTHETIC,17.54,17.97,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 SC/femaleShare/area/LargevsSmall,AgCensus2015-16,T14-16,SC,femaleShare,area,LargevsSmall,gender,large operated area,small operated area,6,6,0,0,equal,c,,,,percent,SYNTHETIC,10.74,12.55,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 SC/femaleShare/area/MarginalvsMedium,AgCensus2015-16,T14-16,SC,femaleShare,area,MarginalvsMedium,gender,marginal operated area,medium operated area,2,0,2,0,equal,c,,,,percent,SYNTHETIC,7.72,8.76,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 SC/femaleShare/area/MarginalvsSmall,AgCensus2015-16,T14-16,SC,femaleShare,area,MarginalvsSmall,gender,marginal operated area,small operated area,5,5,0,0,equal,c,,,,percent,SYNTHETIC,17.6,17.82,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 SC/femaleShare/area/MediumvsSmall,AgCensus2015-16,T14-16,SC,femaleShare,area,MediumvsSmall,gender,medium operated area,small operated area,2,2,0,0,equal,c,,,,percent,SYNTHETIC,27.42,32.32,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 SC/femaleShare/number/LargevsMedium,AgCensus2015-16,T14-16,SC,femaleShare,number,LargevsMedium,gender,large holdings,medium holdings,6,0,0,6,equal,c,,,,percent,SYNTHETIC,21.91,25.82,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 SC/femaleShare/number/LargevsSmall,AgCensus2015-16,T14-16,SC,femaleShare,number,LargevsSmall,gender,large holdings,small holdings,5,5,0,0,equal,c,,,,percent,SYNTHETIC,23.66,24.73,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 SC/femaleShare/number/MarginalvsMedium,AgCensus2015-16,T14-16,SC,femaleShare,number,MarginalvsMedium,gender,marginal holdings,medium holdings,3,0,0,3,equal,c,,,,percent,SYNTHETIC,20.07,21.33,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 SC/femaleShare/number/MarginalvsSmall,AgCensus2015-16,T14-16,SC,femaleShare,number,MarginalvsSmall,gender,marginal holdings,small holdings,4,4,0,0,equal,c,,,,percent,SYNTHETIC,28.31,31.71,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 SC/femaleShare/number/MediumvsSmall,AgCensus2015-16,T14-16,SC,femaleShare,number,MediumvsSmall,gender,medium holdings,small holdings,4,4,0,0,equal,c,,,,percent,SYNTHETIC,16.02,19.27,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 ST/Large/area/MvF,AgCensus2015-16,T14-16,ST,Large,area,MvF,gender,men,women,5,5,0,0,diff,a,,,,percent,SYNTHETIC,43.53,20.91,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 ST/Large/number/MvF,AgCensus2015-16,T14-16,ST,Large,number,MvF,gender,men,women,3,0,0,3,diff,a,,,,percent,SYNTHETIC,39.11,16.23,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 ST/Marginal/area/MvF,AgCensus2015-16,T14-16,ST,Marginal,area,MvF,gender,men,women,4,4,0,0,diff,a,,,,percent,SYNTHETIC,43.15,18.18,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 ST/Marginal/number/MvF,AgCensus2015-16,T14-16,ST,Marginal,number,MvF,gender,men,women,5,5,0,0,diff,a,,,,percent,SYNTHETIC,43.58,24.83,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 ST/Medium/number/MvF,AgCensus2015-16,T14-16,ST,Medium,number,MvF,gender,men,women,5,5,0,0,diff,a,,,,percent,SYNTHETIC,20.2,9.21,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 ST/Small/number/MvF,AgCensus2015-16,T14-16,ST,Small,number,MvF,gender,men,women,5,0,0,5,diff,a,,,,percent,SYNTHETIC,36.34,12.31,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 ST/femaleShare/area/LargevsMedium,AgCensus2015-16,T14-16,ST,femaleShare,area,LargevsMedium,gender,large operated area,medium operated area,2,0,0,2,equal,c,,,,percent,SYNTHETIC,19.58,21.82,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 ST/femaleShare/area/MarginalvsMedium,AgCensus2015-16,T14-16,ST,femaleShare,area,MarginalvsMedium,gender,marginal operated area,medium operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,22.95,24.87,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 ST/femaleShare/area/MarginalvsSmall,AgCensus2015-16,T14-16,ST,femaleShare,area,MarginalvsSmall,gender,marginal operated area,small operated area,2,2,0,0,equal,c,,,,percent,SYNTHETIC,30.06,30.75,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 ST/femaleShare/number/LargevsMedium,AgCensus2015-16,T14-16,ST,femaleShare,number,LargevsMedium,gender,large holdings,medium holdings,2,0,0,2,equal,c,,,,percent,SYNTHETIC,30.74,32.33,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 ST/femaleShare/number/MarginalvsMedium,AgCensus2015-16,T14-16,ST,femaleShare,number,MarginalvsMedium,gender,marginal holdings,medium holdings,3,3,0,0,equal,c,,,,percent,SYNTHETIC,19.36,23.92,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 ST/femaleShare/number/MarginalvsSmall,AgCensus2015-16,T14-16,ST,femaleShare,number,MarginalvsSmall,gender,marginal holdings,small holdings,4,0,0,4,equal,c,,,,percent,SYNTHETIC,31.81,32.27,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T14-16 ST/femaleShare/number/MediumvsSmall,AgCensus2015-16,T14-16,ST,femaleShare,number,MediumvsSmall,gender,medium holdings,small holdings,6,6,0,0,equal,c,,,,percent,SYNTHETIC,10.38,14.32,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 A&N Islands/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,A&N Islands,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,24.46,37.38,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 A&N Islands/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,A&N Islands,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,23.8,40.7,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 A&N Islands/All/area/MarginalvsLarge,AgCensus2015-16,T2-4,A&N Islands,All,area,MarginalvsLarge,landholding,marginal operated area,large operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,11.43,12.22,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,7.42,29.98,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/area/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,percent,SYNTHETIC,26.15,26.4,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,20.03,33.52,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,26.51,50.92,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,30.06,35.03,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,16.16,36.17,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,All,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,4,0,0,4,equal,c,,,,percent,SYNTHETIC,11.85,13.62,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,Andhra Pradesh,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,4,0,4,0,equal,c,,,,percent,SYNTHETIC,19.08,22.34,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,2,0,2,0,equal,c,,,,percent,SYNTHETIC,25.17,29.48,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Andhra Pradesh,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,38.29,23.84,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,29.46,10.22,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Andhra Pradesh,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,25.74,13.46,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,36.13,17.35,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/All/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,All,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,40.65,27.25,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Large/area/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Large,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,31.52,50.36,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Large/area/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Large,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,7.48,11.16,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Large/area/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Large,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,24.35,38.82,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Marginal/area/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Marginal,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,26.14,47.57,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Marginal/area/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Marginal,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,8,0,equal,c,,,,percent,SYNTHETIC,27.73,27.88,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Marginal/area/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Marginal,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,13.24,35.51,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,16.13,35.87,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Medium/area/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,14.27,25.31,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Medium/area/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,16.71,20.35,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Medium/area/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,18.28,31.52,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Medium/number/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,21.02,35.71,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Medium/number/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,17.74,19.19,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,5.83,21.56,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,41.84,17.12,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,40.4,24.7,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,48.29,34.25,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/MarginalvsSmall,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,34.56,14.14,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,2,0,0,2,equal,c,,,,percent,SYNTHETIC,30.64,35.07,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/SmallvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,44.2,33.75,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/SmallvsMedium,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,SmallvsMedium,landholding,small holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,49.15,31.2,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
