source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type,recomputed_condition,recomputed_gold,agrees_with_frozen
AgCensus2015-16 T14-16 All/Large/area/MvF,AgCensus2015-16,T14-16,All,Large,area,MvF,gender,men,women,6,6,0,0,diff,a,,,,percent,SYNTHETIC,41.11,22.49,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 All/femaleShare/area/MediumvsSmall,AgCensus2015-16,T14-16,All,femaleShare,area,MediumvsSmall,gender,medium operated area,small operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,40.39,42.76,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 All/femaleShare/number/LargevsMedium,AgCensus2015-16,T14-16,All,femaleShare,number,LargevsMedium,gender,large holdings,medium holdings,4,0,0,4,equal,c,,,,percent,SYNTHETIC,37.62,38.37,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 All/femaleShare/number/MarginalvsMedium,AgCensus2015-16,T14-16,All,femaleShare,number,MarginalvsMedium,gender,marginal holdings,medium holdings,4,0,0,4,equal,c,,,,percent,SYNTHETIC,25.1,25.63,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 All/femaleShare/number/MarginalvsSmall,AgCensus2015-16,T14-16,All,femaleShare,number,MarginalvsSmall,gender,marginal holdings,small holdings,2,2,0,0,equal,c,,,,percent,SYNTHETIC,29.9,30.71,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 All/femaleShare/number/MediumvsSmall,AgCensus2015-16,T14-16,All,femaleShare,number,MediumvsSmall,gender,medium holdings,small holdings,5,5,0,0,equal,c,,,,percent,SYNTHETIC,32.75,33.42,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 SC/Large/area/MvF,AgCensus2015-16,T14-16,SC,Large,area,MvF,gender,men,women,3,3,0,0,diff,a,,,,percent,SYNTHETIC,37.57,24.25,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 SC/Large/number/MvF,AgCensus2015-16,T14-16,SC,Large,number,MvF,gender,men,women,5,0,0,5,diff,a,,,,percent,SYNTHETIC,57.43,28.96,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 SC/Marginal/area/MvF,AgCensus2015-16,T14-16,SC,Marginal,area,MvF,gender,men,women,1,1,0,0,diff,a,,,,percent,SYNTHETIC,53.54,38.07,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 SC/Marginal/number/MvF,AgCensus2015-16,T14-16,SC,Marginal,number,MvF,gender,men,women,5,5,0,0,diff,a,,,,percent,SYNTHETIC,38.67,22.14,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 SC/Medium/area/MvF,AgCensus2015-16,T14-16,SC,Medium,area,MvF,gender,men,women,6,0,0,6,diff,a,,,,percent,SYNTHETIC,62.27,47.61,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 SC/Medium/number/MvF,AgCensus2015-16,T14-16,SC,Medium,number,MvF,gender,men,women,5,5,0,0,diff,a,,,,percent,SYNTHETIC,51.49,38.48,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 SC/Small/area/MvF,AgCensus2015-16,T14-16,SC,Small,area,MvF,gender,men,women,5,0,5,0,diff,a,,,,percent,SYNTHETIC,82.75,57.31,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 SC/Small/number/MvF,AgCensus2015-16,T14-16,SC,Small,number,MvF,gender,men,women,4,0,0,4,diff,a,,,,percent,SYNTHETIC,46.52,23.02,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 SC/femaleShare/area/LargevsMedium,AgCensus2015-16,T14-16,SC,femaleShare,area,LargevsMedium,gender,large operated area,medium operated area,2,0,0,2,equal,c,,,,percent,SYNTHETIC,36.72,37.16,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 SC/femaleShare/area/LargevsSmall,AgCensus2015-16,T14-16,SC,femaleShare,area,LargevsSmall,gender,large operated area,small operated area,6,6,0,0,equal,c,,,,percent,SYNTHETIC,27.65,29.46,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 SC/femaleShare/area/MarginalvsMedium,AgCensus2015-16,T14-16,SC,femaleShare,area,MarginalvsMedium,gender,marginal operated area,medium operated area,2,0,2,0,equal,c,,,,percent,SYNTHETIC,23.62,24.67,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 SC/femaleShare/area/MarginalvsSmall,AgCensus2015-16,T14-16,SC,femaleShare,area,MarginalvsSmall,gender,marginal operated area,small operated area,5,5,0,0,equal,c,,,,percent,SYNTHETIC,36.8,37.02,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 SC/femaleShare/area/MediumvsSmall,AgCensus2015-16,T14-16,SC,femaleShare,area,MediumvsSmall,gender,medium operated area,small operated area,2,2,0,0,equal,c,,,,percent,SYNTHETIC,49.89,54.79,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 SC/femaleShare/number/LargevsMedium,AgCensus2015-16,T14-16,SC,femaleShare,number,LargevsMedium,gender,large holdings,medium holdings,6,0,0,6,equal,c,,,,percent,SYNTHETIC,42.55,46.46,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 SC/femaleShare/number/LargevsSmall,AgCensus2015-16,T14-16,SC,femaleShare,number,LargevsSmall,gender,large holdings,small holdings,5,5,0,0,equal,c,,,,percent,SYNTHETIC,44.89,45.96,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 SC/femaleShare/number/MarginalvsMedium,AgCensus2015-16,T14-16,SC,femaleShare,number,MarginalvsMedium,gender,marginal holdings,medium holdings,3,0,0,3,equal,c,,,,percent,SYNTHETIC,40.1,41.35,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 SC/femaleShare/number/MarginalvsSmall,AgCensus2015-16,T14-16,SC,femaleShare,number,MarginalvsSmall,gender,marginal holdings,small holdings,4,4,0,0,equal,c,,,,percent,SYNTHETIC,51.09,54.49,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 SC/femaleShare/number/MediumvsSmall,AgCensus2015-16,T14-16,SC,femaleShare,number,MediumvsSmall,gender,medium holdings,small holdings,4,4,0,0,equal,c,,,,percent,SYNTHETIC,34.69,37.94,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 ST/Large/area/MvF,AgCensus2015-16,T14-16,ST,Large,area,MvF,gender,men,women,5,5,0,0,diff,a,,,,percent,SYNTHETIC,68.04,41.21,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 ST/Large/number/MvF,AgCensus2015-16,T14-16,ST,Large,number,MvF,gender,men,women,3,0,0,3,diff,a,,,,percent,SYNTHETIC,62.14,34.98,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 ST/Marginal/area/MvF,AgCensus2015-16,T14-16,ST,Marginal,area,MvF,gender,men,women,4,4,0,0,diff,a,,,,percent,SYNTHETIC,67.53,37.58,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 ST/Marginal/number/MvF,AgCensus2015-16,T14-16,ST,Marginal,number,MvF,gender,men,women,5,5,0,0,diff,a,,,,percent,SYNTHETIC,68.11,46.44,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 ST/Medium/number/MvF,AgCensus2015-16,T14-16,ST,Medium,number,MvF,gender,men,women,5,5,0,0,diff,a,,,,percent,SYNTHETIC,36.93,25.61,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 ST/Small/number/MvF,AgCensus2015-16,T14-16,ST,Small,number,MvF,gender,men,women,5,0,0,5,diff,a,,,,percent,SYNTHETIC,58.46,29.75,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T14-16 ST/femaleShare/area/LargevsMedium,AgCensus2015-16,T14-16,ST,femaleShare,area,LargevsMedium,gender,large operated area,medium operated area,2,0,0,2,equal,c,,,,percent,SYNTHETIC,39.44,41.68,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 ST/femaleShare/area/MarginalvsMedium,AgCensus2015-16,T14-16,ST,femaleShare,area,MarginalvsMedium,gender,marginal operated area,medium operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,43.93,45.86,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 ST/femaleShare/area/MarginalvsSmall,AgCensus2015-16,T14-16,ST,femaleShare,area,MarginalvsSmall,gender,marginal operated area,small operated area,2,2,0,0,equal,c,,,,percent,SYNTHETIC,53.42,54.1,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 ST/femaleShare/number/LargevsMedium,AgCensus2015-16,T14-16,ST,femaleShare,number,LargevsMedium,gender,large holdings,medium holdings,2,0,0,2,equal,c,,,,percent,SYNTHETIC,54.31,55.91,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 ST/femaleShare/number/MarginalvsMedium,AgCensus2015-16,T14-16,ST,femaleShare,number,MarginalvsMedium,gender,marginal holdings,medium holdings,3,3,0,0,equal,c,,,,percent,SYNTHETIC,39.15,43.71,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 ST/femaleShare/number/MarginalvsSmall,AgCensus2015-16,T14-16,ST,femaleShare,number,MarginalvsSmall,gender,marginal holdings,small holdings,4,0,0,4,equal,c,,,,percent,SYNTHETIC,55.75,56.21,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T14-16 ST/femaleShare/number/MediumvsSmall,AgCensus2015-16,T14-16,ST,femaleShare,number,MediumvsSmall,gender,medium holdings,small holdings,6,6,0,0,equal,c,,,,percent,SYNTHETIC,27.18,31.11,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 A&N Islands/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,A&N Islands,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,45.94,59.84,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 A&N Islands/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,A&N Islands,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,45.06,64.27,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 A&N Islands/All/area/MarginalvsLarge,AgCensus2015-16,T2-4,A&N Islands,All,area,MarginalvsLarge,landholding,marginal operated area,large operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,28.57,29.37,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,23.23,49.97,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/area/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,percent,SYNTHETIC,48.2,48.45,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,40.04,54.69,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,48.68,77.89,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,53.42,58.39,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,34.88,58.23,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/All/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,All,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,4,0,0,4,equal,c,,,,percent,SYNTHETIC,29.13,30.91,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/All/area/MarginalvsSmall,AgCensus2015-16,T2-4,Andhra Pradesh,All,area,MarginalvsSmall,landholding,marginal operated area,small operated area,4,0,4,0,equal,c,,,,percent,SYNTHETIC,38.77,42.04,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,2,0,2,0,equal,c,,,,percent,SYNTHETIC,46.9,51.21,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Andhra Pradesh,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,61.05,45.12,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,49.29,26.96,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/All/number/MarginalvsSmall,AgCensus2015-16,T2-4,Andhra Pradesh,All,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,44.32,31.29,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,58.17,36.47,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/All/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,All,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,64.2,49.66,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/Large/area/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Large,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,55.36,77.15,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/Large/area/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Large,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,23.31,26.99,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/Large/area/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Large,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,45.79,61.76,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/Marginal/area/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Marginal,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,48.19,73.42,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/Marginal/area/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Marginal,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,8,0,equal,c,,,,percent,SYNTHETIC,50.31,50.46,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/Marginal/area/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Marginal,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,30.98,57.34,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,34.84,57.82,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/Medium/area/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,32.35,43.75,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/Medium/area/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,35.62,39.26,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/Medium/area/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,37.71,52.03,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/Medium/number/SCvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,41.37,57.62,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/Medium/number/SCvsST,AgCensus2015-16,T2-4,Andhra Pradesh,Medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,36.99,38.44,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Andhra Pradesh/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Andhra Pradesh,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,21.11,38.75,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,65.79,36.16,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,63.87,46.27,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Andhra Pradesh/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Andhra Pradesh,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,74.38,58.99,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
