tier,method,seed,duplicate_ids,unknown_ids,missing_ids,records,expected_scope
general-instruct,ablation_placement_random_draw3,42,0,0,0,749,full_test
general-instruct,ablation_placement_random,42,0,0,0,749,full_test
general-instruct,ablation_placement_uniform,42,0,0,0,749,full_test
general-instruct,ablation_rank_sweep_16,42,0,0,0,749,full_test
general-instruct,ablation_rank_sweep_32,42,0,0,0,749,full_test
general-instruct,ablation_rank_sweep_8,42,0,0,0,749,full_test
general-instruct,baseline_dart,42,0,0,0,749,full_test
general-instruct,baseline_dart,43,0,0,0,749,full_test
general-instruct,baseline_dart,44,0,0,0,749,full_test
general-instruct,baseline_fairnet,42,0,0,0,749,full_test
general-instruct,baseline_fairnet,43,0,0,0,749,full_test
general-instruct,baseline_fairnet,44,0,0,0,749,full_test
general-instruct,baseline_fairsteer,42,0,0,0,749,full_test
general-instruct,baseline_igu_lora,42,0,0,0,749,full_test
general-instruct,baseline_lftf,42,0,0,0,749,full_test
general-instruct,baseline_pedal,42,0,0,0,749,full_test
general-instruct,baseline_regift,42,0,0,0,749,full_test
general-instruct,frozen_base,42,0,0,0,749,full_test
general-instruct,graft_proposed_loao_gender,42,0,0,0,70,held_out_axis
general-instruct,graft_proposed_loao_landholding,42,0,0,0,315,held_out_axis
general-instruct,graft_proposed_loao_social_group,42,0,0,0,364,held_out_axis
general-instruct,graft_proposed_qlora_nf4,42,0,0,0,749,full_test
general-instruct,graft_proposed,42,0,0,0,749,full_test
general-instruct,graft_proposed,43,0,0,0,749,full_test
general-instruct,graft_proposed,44,0,0,0,749,full_test
general-instruct,reference_vanilla_lora_loao_gender,42,0,0,0,70,held_out_axis
general-instruct,reference_vanilla_lora_loao_landholding,42,0,0,0,315,held_out_axis
general-instruct,reference_vanilla_lora_loao_social_group,42,0,0,0,364,held_out_axis
general-instruct,reference_vanilla_lora,42,0,0,0,749,full_test
general-instruct,reference_vanilla_lora,43,0,0,0,749,full_test
general-instruct,reference_vanilla_lora,44,0,0,0,749,full_test
general-instruct,reference_vanilla_qlora,42,0,0,0,749,full_test
small-instruct,ablation_no_condition_adaptive,42,0,0,0,749,full_test
small-instruct,ablation_no_rationale_loss,42,0,0,0,749,full_test
small-instruct,ablation_placement_random_draw2,42,0,0,0,749,full_test
small-instruct,ablation_placement_random_draw3,42,0,0,0,749,full_test
small-instruct,ablation_placement_random,42,0,0,0,749,full_test
small-instruct,ablation_placement_uniform,42,0,0,0,749,full_test
small-instruct,ablation_rank_sweep_16,42,0,0,0,749,full_test
small-instruct,ablation_rank_sweep_32,42,0,0,0,749,full_test
small-instruct,ablation_rank_sweep_8,42,0,0,0,749,full_test
small-instruct,baseline_dart,42,0,0,0,749,full_test
small-instruct,baseline_dart,43,0,0,0,749,full_test
small-instruct,baseline_dart,44,0,0,0,749,full_test
small-instruct,baseline_fairnet,42,0,0,0,749,full_test
small-instruct,baseline_fairnet,43,0,0,0,749,full_test
small-instruct,baseline_fairnet,44,0,0,0,749,full_test
small-instruct,baseline_fairsteer,42,0,0,0,749,full_test
small-instruct,baseline_igu_lora,42,0,0,0,749,full_test
small-instruct,baseline_lftf,42,0,0,0,749,full_test
small-instruct,baseline_pedal,42,0,0,0,749,full_test
small-instruct,baseline_regift,42,0,0,0,749,full_test
small-instruct,frozen_base,42,0,0,0,749,full_test
small-instruct,graft_proposed_loao_gender,42,0,0,0,70,held_out_axis
small-instruct,graft_proposed_loao_landholding,42,0,0,0,315,held_out_axis
small-instruct,graft_proposed_loao_social_group,42,0,0,0,364,held_out_axis
small-instruct,graft_proposed_qlora_nf4,42,0,0,0,749,full_test
small-instruct,graft_proposed,42,0,0,0,749,full_test
small-instruct,graft_proposed,43,0,0,0,749,full_test
small-instruct,graft_proposed,44,0,0,0,749,full_test
small-instruct,reference_vanilla_lora_loao_gender,42,0,0,0,70,held_out_axis
small-instruct,reference_vanilla_lora_loao_landholding,42,0,0,0,315,held_out_axis
small-instruct,reference_vanilla_lora_loao_social_group,42,0,0,0,364,held_out_axis
small-instruct,reference_vanilla_lora,42,0,0,0,749,full_test
small-instruct,reference_vanilla_lora,43,0,0,0,749,full_test
small-instruct,reference_vanilla_lora,44,0,0,0,749,full_test
small-instruct,reference_vanilla_qlora,42,0,0,0,749,full_test
cpu-baseline,always_equal,20260912,0,0,0,749,full_test
cpu-baseline,majority,20260912,0,0,0,749,full_test
cpu-baseline,metadata,20260912,0,0,0,749,full_test
cpu-baseline,tfidf,20260912,0,0,0,749,full_test
