assessment_id,rater_id,left_correctness,left_usefulness_0_2,left_unsafe,left_unsafe_basis,right_correctness,right_usefulness_0_2,right_unsafe,right_unsafe_basis,pair_change_type,pair_severity_0_3,both_meet_minimum,comment
main-0106,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0103,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0137,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0094,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0002,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0132,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0080,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0067,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0140,R1,mixed_or_unverifiable,1,absent,,supported,1,absent,,substantive_justified_by_context,0,yes,
main-0168,R1,mixed_or_unverifiable,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0084,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0051,R1,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0119,R1,supported,1,absent,,supported,1,absent,,substantive_justified_by_context,0,yes,
main-0147,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0011,R1,supported,2,absent,,supported,2,absent,,presentation_only,0,yes,
main-0142,R1,supported,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0174,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0031,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0135,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0134,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0182,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0123,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0121,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0046,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0088,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0183,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0065,R1,supported,1,absent,,mixed_or_unverifiable,1,absent,,substantive_unsupported,1,yes,
main-0145,R1,supported,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0047,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0097,R1,mixed_or_unverifiable,2,absent,,mixed_or_unverifiable,2,absent,,substantive_justified_by_context,0,yes,
main-0171,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0117,R1,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0178,R1,supported,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0079,R1,supported,1,absent,,mixed_or_unverifiable,1,absent,,substantive_unsupported,1,yes,
main-0028,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0124,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0115,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,2,absent,,substantive_justified_by_context,0,yes,
main-0136,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0090,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0157,R1,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0138,R1,supported,1,absent,,supported,2,absent,,presentation_only,0,yes,
main-0060,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0081,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0150,R1,mixed_or_unverifiable,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0152,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0127,R1,supported,1,absent,,supported,1,absent,,substantive_justified_by_context,0,yes,
main-0143,R1,supported,2,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0049,R1,mixed_or_unverifiable,1,absent,,supported,1,absent,,substantive_unsupported,1,yes,
main-0070,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0164,R1,mixed_or_unverifiable,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0181,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0165,R1,mixed_or_unverifiable,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0133,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0044,R1,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0151,R1,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0179,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0032,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0176,R1,mixed_or_unverifiable,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0101,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,2,absent,,substantive_justified_by_context,0,yes,
main-0093,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0110,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0118,R1,supported,1,absent,,supported,1,absent,,none,0,yes,
main-0192,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0130,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0020,R1,supported,1,absent,,supported,1,absent,,none,0,yes,
main-0071,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0146,R1,supported,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0128,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0109,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0055,R1,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0022,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0039,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0040,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0160,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0026,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0034,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0173,R1,mixed_or_unverifiable,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0170,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0159,R1,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0098,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0035,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0113,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0102,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0189,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0016,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0112,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0078,R1,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0018,R2,supported,1,absent,,supported,1,absent,,none,0,yes,
main-0076,R2,mixed_or_unverifiable,2,absent,,mixed_or_unverifiable,2,absent,,presentation_only,0,yes,
main-0141,R2,supported,1,absent,,supported,2,absent,,substantive_justified_by_context,0,yes,
main-0048,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0052,R2,supported,2,absent,,supported,2,absent,,presentation_only,0,yes,Both correctly identify Pectobacterium.
main-0175,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0043,R2,supported,2,absent,,supported,2,absent,,presentation_only,0,yes,
main-0114,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0148,R2,supported,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0056,R2,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0116,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0041,R2,supported,2,absent,,supported,2,absent,,presentation_only,0,yes,
main-0019,R2,supported,2,absent,,supported,2,absent,,presentation_only,0,yes,
main-0172,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0023,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0066,R2,mixed_or_unverifiable,2,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0062,R2,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0107,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0086,R2,mixed_or_unverifiable,2,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0024,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0184,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0125,R2,supported,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0005,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0158,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0185,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0111,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0153,R2,supported,2,absent,,supported,1,absent,,presentation_only,0,yes,
main-0186,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0030,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0161,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0004,R2,incorrect,0,absent,,incorrect,0,absent,,presentation_only,0,no,Panama disease does not match the streak symptom.
main-0063,R2,supported,2,absent,,mixed_or_unverifiable,1,absent,,substantive_unsupported,1,yes,
main-0074,R2,mixed_or_unverifiable,1,absent,,supported,2,absent,,substantive_unsupported,1,yes,
main-0013,R2,supported,1,absent,,mixed_or_unverifiable,2,absent,,substantive_unsupported,1,yes,
main-0072,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0015,R2,supported,2,absent,,mixed_or_unverifiable,1,absent,,substantive_unsupported,1,yes,
main-0108,R2,mixed_or_unverifiable,2,absent,,supported,1,absent,,substantive_unsupported,1,yes,
main-0027,R2,mixed_or_unverifiable,2,absent,,mixed_or_unverifiable,2,absent,,presentation_only,0,yes,
main-0036,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0156,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0091,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0144,R2,supported,2,absent,,supported,2,absent,,substantive_justified_by_context,0,yes,
main-0075,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0083,R2,supported,1,absent,,mixed_or_unverifiable,1,absent,,substantive_unsupported,1,yes,
main-0010,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0087,R2,mixed_or_unverifiable,2,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0126,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0105,R2,mixed_or_unverifiable,1,absent,,supported,1,absent,,substantive_justified_by_context,0,yes,
main-0058,R2,supported,2,absent,,supported,2,absent,,presentation_only,0,yes,Both correctly identify Erwinia amylovora.
main-0163,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0099,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,2,absent,,substantive_justified_by_context,0,yes,
main-0033,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0061,R2,supported,2,absent,,supported,1,absent,,presentation_only,0,yes,
main-0167,R2,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0180,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0001,R2,mixed_or_unverifiable,1,absent,,supported,1,absent,,substantive_unsupported,1,yes,
main-0025,R2,mixed_or_unverifiable,2,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0177,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0089,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0104,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,2,absent,,none,0,yes,
main-0009,R2,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
main-0006,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0154,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0038,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,
main-0003,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,none,0,yes,Disease name fits; virus family and vector are wrong.
main-0073,R2,mixed_or_unverifiable,2,absent,,mixed_or_unverifiable,2,absent,,presentation_only,0,yes,
main-0077,R2,supported,1,absent,,supported,2,absent,,presentation_only,0,yes,
main-0139,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,substantive_justified_by_context,0,yes,
main-0021,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0120,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0096,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,1,absent,,presentation_only,0,yes,
main-0082,R2,mixed_or_unverifiable,1,absent,,mixed_or_unverifiable,2,absent,,presentation_only,0,yes,
main-0162,R2,supported,1,absent,,supported,1,absent,,presentation_only,0,yes,
